"satisfaction_level" "last_evaluation" "number_project" "average_montly_hours" "time_spend_company" "Work_accident" "left" "promotion_last_5years" "sales" "salary"
0.31 0.86 3 266 7 0 0 0 "sales" "low"
0.5 0.55 3 188 2 0 0 0 "product_mng" "medium"
0.91 0.78 4 169 4 0 0 0 "accounting" "low"
0.89 0.67 3 269 3 0 0 0 "sales" "medium"
0.5 0.89 5 222 3 0 0 0 "sales" "low"
0.78 0.83 4 158 3 0 0 0 "IT" "high"
0.8 0.52 3 147 3 1 0 0 "technical" "medium"
0.4 0.48 2 132 3 0 1 0 "technical" "low"
0.92 0.91 3 160 2 0 0 0 "marketing" "high"
0.49 0.79 5 177 2 0 0 0 "support" "low"
0.42 0.53 3 199 4 0 1 0 "technical" "medium"
0.88 0.89 3 171 2 0 0 0 "RandD" "medium"
0.61 0.5 4 269 3 0 0 0 "IT" "medium"
0.57 0.7 3 172 3 0 0 0 "technical" "low"
0.5 0.77 3 267 2 0 0 0 "management" "high"
1 0.55 4 186 4 1 0 0 "technical" "medium"
0.59 0.61 3 210 2 0 0 0 "sales" "medium"
0.54 0.62 2 141 2 0 0 0 "technical" "medium"
0.94 0.73 3 268 10 0 0 0 "technical" "medium"
0.8 0.7 4 246 3 0 0 1 "marketing" "low"
0.53 0.73 4 248 2 0 0 0 "technical" "medium"
0.46 0.6 4 119 5 0 0 0 "support" "medium"
0.86 0.73 3 159 3 0 0 0 "hr" "medium"
0.38 0.53 2 136 3 0 1 0 "product_mng" "medium"
0.79 1 5 257 6 0 1 0 "sales" "low"
0.17 0.36 6 191 2 0 0 0 "product_mng" "medium"
0.78 0.69 4 202 3 0 0 0 "product_mng" "low"
0.44 0.51 2 145 3 0 1 0 "marketing" "low"
0.21 0.9 4 235 4 0 0 0 "sales" "medium"
0.87 0.83 4 265 6 0 1 0 "sales" "low"
0.64 0.51 4 247 2 1 0 0 "support" "low"
0.74 0.86 3 221 2 0 0 0 "support" "medium"
0.74 0.73 3 156 8 0 0 0 "management" "medium"
0.8 0.54 5 261 2 0 0 0 "sales" "medium"
0.41 0.5 2 153 3 0 1 0 "sales" "low"
0.22 0.51 4 131 2 0 0 0 "technical" "medium"
0.72 0.76 3 261 4 0 0 0 "IT" "medium"
0.83 0.73 4 157 2 0 0 0 "RandD" "medium"
0.63 0.71 4 244 2 0 0 0 "support" "low"
0.81 0.47 4 153 7 0 0 0 "product_mng" "low"
0.92 0.94 5 253 2 0 0 0 "technical" "high"
0.9 0.49 3 259 6 0 0 0 "IT" "medium"
0.32 0.73 6 194 5 0 0 0 "product_mng" "low"
0.1 0.83 6 264 4 1 1 0 "sales" "medium"
0.1 0.77 6 280 4 0 1 0 "sales" "medium"
0.79 0.78 2 228 2 0 0 0 "technical" "medium"
0.1 0.83 6 258 4 0 1 0 "management" "low"
0.68 0.81 3 180 2 1 0 0 "sales" "high"
0.52 0.8 5 257 3 0 0 0 "support" "medium"
0.34 0.56 3 139 2 0 0 0 "hr" "medium"
0.59 0.62 4 205 3 0 0 0 "technical" "medium"
0.39 0.85 5 179 5 0 0 0 "support" "low"
0.6 0.61 5 191 2 1 0 0 "technical" "high"
0.62 0.66 4 143 3 0 0 0 "support" "medium"
0.1 0.97 6 282 4 0 1 0 "hr" "medium"
0.43 0.52 2 156 3 0 1 0 "support" "medium"
0.4 0.56 2 149 3 0 1 0 "accounting" "low"
0.45 0.63 5 111 5 0 0 0 "management" "medium"
0.62 0.94 4 252 4 0 0 0 "accounting" "low"
0.15 0.84 3 201 6 0 0 0 "support" "medium"
0.58 0.64 2 249 2 0 0 0 "technical" "low"
0.68 0.81 3 232 2 0 0 0 "support" "medium"
0.7 0.64 4 178 3 1 0 1 "marketing" "high"
0.66 0.62 3 144 3 0 0 0 "management" "low"
0.72 0.97 3 239 3 0 0 0 "IT" "low"
0.48 0.72 3 143 4 0 0 0 "sales" "medium"
0.11 0.8 7 296 4 0 1 0 "sales" "low"
0.57 0.69 4 255 3 0 0 0 "hr" "medium"
0.91 0.57 3 158 3 0 0 0 "technical" "low"
0.87 0.52 4 140 3 0 0 0 "product_mng" "medium"
0.91 0.76 3 159 3 0 0 0 "hr" "medium"
0.65 0.76 2 170 5 0 0 0 "IT" "low"
0.44 0.45 2 156 3 0 1 0 "hr" "medium"
0.56 0.58 3 173 3 0 0 0 "support" "medium"
0.54 0.91 3 249 3 0 0 0 "technical" "high"
0.48 0.42 2 275 6 1 0 1 "hr" "medium"
0.56 0.81 5 274 4 0 0 0 "RandD" "medium"
0.54 0.61 4 151 4 1 0 0 "support" "medium"
0.28 0.83 4 162 3 0 0 0 "sales" "low"
0.44 0.53 2 156 3 0 1 0 "sales" "low"
0.92 0.53 2 249 2 0 0 0 "IT" "high"
0.09 0.9 6 256 4 0 1 0 "support" "low"
0.39 0.53 2 131 3 0 1 0 "sales" "medium"
0.66 0.62 5 214 2 0 0 0 "sales" "medium"
0.9 0.48 4 136 7 0 0 0 "IT" "low"
0.16 0.96 5 137 5 1 0 0 "technical" "low"
0.69 0.78 5 131 8 0 0 0 "support" "low"
0.18 0.99 4 160 5 0 0 0 "accounting" "low"
0.73 0.55 4 267 3 0 0 0 "sales" "low"
0.95 0.49 4 146 6 1 0 0 "IT" "low"
0.94 0.97 5 197 5 1 0 0 "technical" "low"
0.26 0.95 3 195 5 0 0 0 "support" "low"
0.48 0.73 5 152 6 0 0 0 "IT" "medium"
0.55 0.98 4 185 2 1 0 0 "marketing" "low"
0.41 0.56 2 121 2 0 0 0 "sales" "medium"
0.81 1 4 241 5 0 1 0 "hr" "low"
0.57 0.81 3 142 2 0 0 0 "hr" "medium"
1 0.74 3 220 4 0 0 0 "technical" "low"
0.9 0.98 4 264 6 0 1 0 "product_mng" "medium"
0.56 0.71 4 296 2 0 1 0 "IT" "medium"
0.12 0.5 5 287 4 0 0 0 "technical" "low"
0.39 0.56 2 130 3 0 1 0 "sales" "medium"
0.67 0.95 3 229 3 0 0 0 "sales" "medium"
0.64 0.59 3 174 3 1 0 0 "accounting" "low"
0.96 0.91 4 228 3 1 0 0 "support" "low"
0.78 0.86 5 274 5 0 1 0 "sales" "low"
0.56 0.67 4 184 3 0 0 0 "marketing" "low"
0.54 0.53 4 158 2 0 0 0 "technical" "medium"
0.69 0.72 3 243 3 0 0 0 "marketing" "low"
0.43 0.76 6 154 2 0 0 0 "management" "high"
0.59 0.54 4 178 2 0 0 0 "support" "medium"
0.37 0.46 2 156 3 0 1 0 "sales" "low"
0.67 0.92 4 156 2 0 0 0 "support" "medium"
0.43 0.54 2 142 3 0 1 0 "support" "low"
0.42 0.48 2 146 3 0 1 0 "hr" "high"
0.49 0.54 4 247 3 1 0 0 "sales" "medium"
0.85 0.82 4 270 5 0 1 0 "sales" "low"
0.63 0.5 4 172 2 0 0 0 "technical" "low"
0.71 0.53 4 196 2 1 0 0 "sales" "low"
0.77 0.78 4 212 3 0 0 0 "product_mng" "low"
0.83 0.6 4 161 2 0 0 0 "management" "high"
0.11 0.81 5 287 4 0 1 0 "sales" "low"
0.39 0.46 2 136 3 0 1 0 "support" "medium"
0.37 0.45 2 126 3 0 1 0 "support" "medium"
0.95 0.49 3 188 3 0 0 0 "technical" "low"
0.88 0.97 4 255 5 1 1 0 "IT" "low"
0.52 0.8 5 209 2 0 0 0 "support" "low"
0.49 0.52 5 188 4 0 0 0 "product_mng" "medium"
0.75 0.85 4 181 3 0 0 0 "technical" "low"
0.36 0.5 2 132 3 0 1 0 "management" "low"
0.87 0.87 5 207 2 0 0 0 "sales" "high"
0.38 0.53 2 146 3 0 1 0 "support" "low"
0.1 0.81 6 304 4 0 1 0 "management" "medium"
0.27 0.85 2 277 6 1 0 0 "IT" "low"
0.58 0.75 4 233 2 0 0 0 "marketing" "low"
0.84 0.84 5 163 3 0 0 0 "technical" "low"
0.93 0.92 3 248 2 0 0 0 "sales" "medium"
0.4 0.52 2 155 3 0 1 0 "marketing" "low"
0.87 0.49 4 213 3 0 0 0 "technical" "low"
0.84 0.74 3 182 4 0 1 0 "technical" "low"
0.94 0.95 5 170 3 0 0 0 "support" "medium"
0.51 0.65 4 269 3 0 0 0 "support" "medium"
0.79 0.54 6 190 4 0 0 0 "management" "low"
0.76 0.64 4 234 2 0 0 0 "sales" "high"
0.71 0.56 4 238 4 0 0 0 "product_mng" "medium"
0.61 0.6 3 255 2 0 0 0 "RandD" "medium"
0.83 0.37 5 101 4 1 0 0 "support" "low"
0.78 0.65 3 139 3 0 0 0 "marketing" "high"
0.93 0.95 5 176 6 0 0 1 "accounting" "medium"
0.11 0.83 6 262 4 0 1 0 "hr" "low"
0.55 0.55 4 257 3 0 0 0 "product_mng" "low"
0.6 0.85 3 242 2 0 0 0 "IT" "low"
0.52 0.92 3 150 2 1 0 0 "technical" "medium"
0.11 0.79 7 310 4 0 1 0 "hr" "low"
0.53 0.74 3 172 10 0 0 1 "management" "high"
0.81 0.92 5 239 5 0 1 0 "RandD" "medium"
0.71 0.63 3 254 3 1 0 0 "sales" "high"
0.58 0.78 3 223 3 0 0 0 "management" "low"
0.22 0.59 5 162 2 0 0 0 "support" "low"
0.83 0.76 2 255 7 0 0 0 "sales" "low"
0.09 0.87 6 266 4 0 1 0 "support" "medium"
0.55 0.81 5 229 3 0 0 0 "hr" "low"
0.45 0.51 2 160 3 1 1 1 "sales" "low"
0.21 0.7 3 238 8 0 0 0 "technical" "medium"
0.88 0.59 5 147 4 0 0 0 "sales" "high"
0.6 0.91 5 211 3 0 0 0 "sales" "low"
0.74 0.51 4 185 2 1 0 0 "support" "low"
0.38 0.54 2 143 3 0 1 0 "sales" "low"
0.63 0.94 4 145 3 0 0 0 "technical" "medium"
0.11 0.8 6 259 5 0 1 0 "support" "medium"
0.56 0.59 4 164 3 0 0 1 "support" "medium"
0.93 0.64 4 253 3 0 0 0 "RandD" "low"
0.75 0.54 6 138 4 1 0 0 "sales" "medium"
0.57 0.52 3 143 2 0 0 0 "technical" "low"
0.83 0.92 4 235 5 0 1 0 "sales" "low"
0.42 0.57 2 147 3 1 1 0 "management" "low"
0.82 0.79 3 160 3 0 0 0 "sales" "medium"
0.16 0.9 6 213 2 0 0 0 "IT" "medium"
0.09 0.9 7 289 4 0 1 0 "product_mng" "low"
0.92 1 5 259 5 0 1 0 "IT" "low"
0.51 0.58 3 141 3 0 0 0 "hr" "low"
0.69 0.98 3 261 4 0 0 0 "sales" "medium"
0.94 0.8 5 111 4 0 0 1 "RandD" "medium"
0.56 0.41 6 142 3 0 0 0 "product_mng" "medium"
0.9 0.55 4 211 3 0 0 0 "accounting" "medium"
0.88 0.62 4 138 3 0 0 0 "technical" "medium"
0.11 0.78 6 260 4 0 1 0 "hr" "medium"
0.33 0.45 6 239 3 0 0 0 "sales" "low"
0.83 0.8 4 149 3 0 0 0 "management" "low"
0.69 0.82 4 208 2 0 0 0 "support" "medium"
0.69 0.9 5 103 5 0 0 0 "product_mng" "low"
0.94 0.58 3 135 3 0 0 0 "IT" "low"
0.42 0.47 4 146 3 1 0 0 "sales" "medium"
0.41 0.48 2 148 3 0 1 0 "sales" "low"
0.78 0.63 4 156 3 0 0 0 "sales" "low"
0.67 0.71 5 265 2 0 0 1 "sales" "medium"
0.92 0.58 4 201 2 0 0 0 "marketing" "low"
0.5 0.86 3 253 2 0 0 0 "RandD" "low"
0.69 0.72 4 210 2 1 0 0 "sales" "high"
0.4 0.54 2 148 3 0 1 0 "support" "low"
0.75 0.51 2 215 2 1 0 0 "sales" "low"
0.12 0.81 4 287 6 0 0 0 "sales" "medium"
0.7 0.67 4 181 3 0 0 0 "accounting" "medium"
0.8 0.85 5 253 3 1 0 0 "technical" "low"
0.6 0.63 3 182 3 0 0 0 "accounting" "medium"
0.61 0.9 3 224 3 0 0 0 "support" "low"
0.9 0.77 4 236 3 0 0 0 "sales" "low"
0.82 0.89 4 239 2 0 0 0 "product_mng" "medium"
0.21 0.56 6 277 5 0 0 0 "RandD" "medium"
0.32 0.73 3 180 6 0 0 0 "support" "low"
0.49 0.61 4 232 3 1 0 0 "technical" "medium"
0.59 0.96 5 211 3 0 0 0 "sales" "medium"
0.77 0.72 4 223 3 0 0 0 "sales" "medium"
0.81 0.78 3 166 2 0 0 0 "support" "low"
0.4 0.55 2 159 3 0 1 0 "sales" "low"
0.63 0.86 3 269 4 0 0 0 "support" "low"
0.66 0.57 4 161 7 0 0 1 "management" "medium"
0.54 0.78 4 176 2 0 0 0 "marketing" "medium"
0.1 0.77 6 255 4 0 1 0 "management" "low"
0.94 0.59 3 137 2 0 0 0 "sales" "medium"
0.5 0.65 3 215 2 0 0 0 "technical" "low"
0.55 0.55 5 194 3 1 0 0 "hr" "low"
0.84 0.54 4 160 3 0 0 0 "marketing" "medium"
0.61 0.97 4 256 4 0 0 0 "technical" "medium"
0.96 0.55 3 164 3 0 0 0 "sales" "medium"
0.66 0.69 3 182 3 1 0 0 "technical" "low"
0.14 0.58 4 275 10 0 0 0 "sales" "medium"
0.73 0.74 4 214 3 0 0 0 "sales" "high"
0.5 0.53 3 191 2 1 0 0 "hr" "low"
0.8 0.55 4 178 2 1 0 0 "support" "low"
0.67 0.57 2 160 4 0 0 0 "support" "low"
0.52 0.49 3 146 2 1 0 0 "accounting" "medium"
0.5 0.53 3 142 3 1 0 0 "product_mng" "medium"
0.76 0.81 4 242 2 0 0 0 "IT" "low"
0.41 0.47 2 138 3 0 1 0 "sales" "low"
0.62 0.68 3 134 2 0 0 0 "sales" "medium"
0.62 0.64 3 240 2 0 0 0 "technical" "medium"
0.42 0.47 2 137 3 0 1 0 "support" "medium"
0.85 0.87 5 245 5 0 1 0 "technical" "low"
0.48 0.94 4 231 4 0 0 0 "marketing" "medium"
0.82 0.97 3 244 5 0 0 0 "sales" "medium"
0.91 0.67 3 257 2 0 0 0 "sales" "low"
0.7 0.59 4 216 3 0 0 0 "accounting" "low"
0.63 0.66 4 157 2 0 0 0 "support" "medium"
1 0.84 3 154 3 0 0 0 "sales" "medium"
0.78 0.84 4 173 3 0 0 0 "support" "low"
0.16 0.8 4 140 5 1 0 0 "IT" "medium"
0.51 0.88 5 225 2 1 0 0 "IT" "low"
0.73 0.67 2 139 8 0 0 0 "sales" "medium"
0.63 0.55 4 200 3 1 0 0 "RandD" "low"
0.68 0.85 3 243 4 0 0 0 "technical" "medium"
0.63 0.98 3 160 4 1 0 0 "marketing" "low"
0.22 0.89 4 262 4 0 0 0 "sales" "high"
0.68 0.61 3 134 4 0 0 0 "sales" "medium"
0.38 0.86 6 139 6 0 1 0 "technical" "medium"
0.61 0.64 4 201 3 0 0 0 "sales" "low"
0.66 0.57 4 220 2 1 0 0 "support" "medium"
0.42 0.47 2 135 3 0 1 0 "sales" "low"
0.11 0.85 7 244 4 0 1 0 "support" "low"
0.4 0.48 2 137 3 0 1 0 "sales" "medium"
0.64 0.57 5 149 3 1 0 0 "product_mng" "medium"
0.98 0.61 5 239 3 0 0 0 "IT" "low"
0.43 0.54 2 153 3 0 1 0 "product_mng" "medium"
0.84 0.79 2 150 3 0 0 0 "technical" "low"
0.1 0.86 6 309 4 0 1 0 "sales" "medium"
0.62 0.69 3 207 4 0 0 0 "product_mng" "low"
0.77 0.83 6 271 3 0 0 0 "support" "low"
0.11 0.91 6 302 4 0 1 0 "accounting" "low"
0.97 0.47 3 157 4 0 0 0 "marketing" "low"
0.84 1 5 242 5 0 1 0 "sales" "low"
0.41 0.47 2 135 3 0 1 0 "support" "low"
0.11 0.94 7 280 5 0 1 0 "support" "low"
0.54 0.93 5 189 2 0 0 0 "support" "medium"
0.66 0.87 3 186 2 0 0 0 "IT" "medium"
0.91 1 4 125 4 0 0 0 "sales" "medium"
0.51 0.51 3 274 2 0 0 0 "product_mng" "medium"
0.16 0.82 5 121 2 0 0 0 "sales" "medium"
0.66 0.84 4 253 4 0 0 0 "marketing" "low"
0.83 0.84 3 249 2 0 0 0 "support" "medium"
0.67 0.7 5 159 3 1 0 0 "support" "medium"
0.89 0.55 4 159 2 0 0 0 "sales" "medium"
0.38 0.5 2 132 3 0 1 0 "accounting" "low"
0.55 0.86 4 169 6 0 0 0 "IT" "medium"
0.69 0.9 5 103 5 0 0 0 "product_mng" "low"
0.74 0.76 3 224 2 0 0 0 "hr" "low"
0.81 0.84 4 173 4 0 0 0 "sales" "medium"
0.46 0.54 2 138 3 0 1 0 "product_mng" "medium"
0.74 0.7 4 167 3 1 0 0 "technical" "low"
0.17 0.77 4 151 6 0 0 0 "technical" "low"
0.48 0.94 5 255 6 0 0 0 "accounting" "medium"
0.73 0.94 3 177 3 0 0 0 "technical" "low"
0.62 0.68 3 124 3 0 0 0 "sales" "medium"
0.7 0.93 4 241 3 0 0 0 "sales" "low"
0.59 0.6 3 149 4 0 0 0 "sales" "medium"
0.37 0.52 2 140 3 0 1 0 "management" "medium"
0.73 0.67 4 205 3 0 0 0 "technical" "low"
0.91 0.99 5 228 4 1 0 0 "sales" "low"
0.79 0.74 3 169 3 0 0 0 "RandD" "low"
0.91 0.58 3 172 3 0 0 0 "hr" "low"
0.9 0.98 4 257 3 0 0 0 "IT" "low"
0.7 0.53 4 152 3 0 0 0 "technical" "low"
0.72 0.87 4 154 2 1 0 0 "accounting" "medium"
0.61 0.47 2 253 3 0 1 0 "sales" "low"
0.84 0.64 2 211 3 0 0 0 "sales" "medium"
0.66 0.97 3 263 3 0 0 0 "accounting" "medium"
0.63 0.99 3 247 3 0 0 0 "sales" "medium"
0.52 0.98 5 217 2 1 0 0 "technical" "low"
0.83 0.75 3 150 3 0 0 0 "support" "low"
0.2 0.82 4 190 5 0 0 0 "sales" "low"
0.89 0.92 5 237 5 0 1 0 "sales" "medium"
0.42 0.48 2 129 3 0 1 0 "management" "low"
0.64 0.79 4 274 2 1 0 0 "technical" "low"
0.72 0.84 4 250 3 0 0 0 "support" "high"
0.61 0.59 3 237 2 0 0 0 "technical" "high"
0.77 0.86 5 282 4 0 0 0 "sales" "low"
0.51 0.92 3 224 3 0 0 0 "accounting" "medium"
0.76 0.99 5 252 3 1 0 0 "sales" "low"
0.49 0.61 5 133 3 0 0 0 "technical" "low"
0.37 0.54 2 149 3 0 1 0 "support" "low"
0.85 0.86 3 179 3 0 0 0 "product_mng" "low"
0.88 0.87 4 235 6 0 1 0 "management" "low"
0.36 0.48 2 158 3 0 1 0 "IT" "low"
0.51 0.63 3 183 2 0 0 0 "sales" "medium"
0.88 0.95 3 137 3 0 0 0 "sales" "low"
0.41 0.48 2 148 3 0 1 0 "sales" "low"
0.84 0.79 4 266 3 1 0 0 "product_mng" "low"
0.11 0.82 7 285 4 0 1 0 "IT" "medium"
0.15 0.8 5 151 2 1 0 0 "sales" "low"
0.71 0.72 3 271 2 0 0 0 "support" "low"
0.88 0.71 5 219 2 0 0 0 "IT" "medium"
0.54 0.74 4 164 2 0 1 0 "sales" "low"
0.64 0.52 4 271 2 1 0 0 "hr" "medium"
0.61 0.79 5 230 10 0 0 0 "management" "high"
0.63 1 5 241 4 0 0 0 "RandD" "medium"
0.83 0.86 3 273 3 0 0 0 "technical" "medium"
0.89 0.83 5 269 3 0 0 0 "IT" "low"
0.98 0.53 4 166 2 0 0 0 "support" "medium"
0.64 0.61 4 191 4 0 0 0 "IT" "low"
0.37 0.57 2 133 3 0 1 0 "technical" "low"
0.45 0.47 2 135 3 0 1 0 "RandD" "medium"
0.74 0.87 5 242 5 0 1 0 "support" "medium"
0.84 0.99 4 262 6 0 1 0 "accounting" "medium"
0.66 0.89 4 169 4 0 0 0 "support" "low"
0.48 0.87 3 236 2 0 0 0 "IT" "low"
0.65 0.64 3 223 4 0 0 0 "sales" "low"
0.97 0.66 4 193 4 0 0 0 "accounting" "low"
0.21 0.78 4 218 6 0 0 0 "technical" "low"
0.45 0.61 5 179 5 0 0 0 "hr" "low"
0.39 0.64 3 152 2 0 0 0 "sales" "low"
0.65 0.91 4 224 2 1 0 0 "sales" "low"
0.44 0.37 2 219 2 0 0 0 "technical" "low"
0.13 0.62 3 264 6 0 0 0 "accounting" "low"
0.95 0.81 4 263 3 0 0 0 "support" "medium"
0.87 0.73 5 184 3 0 0 0 "product_mng" "low"
0.58 0.94 4 225 2 0 0 0 "technical" "low"
0.59 0.76 4 234 3 0 0 0 "sales" "high"
0.66 0.68 4 269 3 1 0 0 "support" "low"
0.53 0.75 2 123 4 0 0 0 "RandD" "medium"
0.62 0.49 4 174 3 0 0 0 "technical" "medium"
0.54 0.64 3 203 4 0 0 0 "IT" "medium"
0.58 0.94 5 274 3 0 0 0 "RandD" "medium"
0.69 0.56 4 149 3 0 0 0 "IT" "medium"
0.52 0.47 6 141 5 1 0 0 "support" "low"
0.89 0.79 4 133 2 0 0 0 "support" "medium"
0.75 0.61 5 173 4 0 0 0 "sales" "low"
0.84 0.75 3 187 3 1 0 0 "technical" "medium"
0.53 0.45 4 180 3 0 0 0 "technical" "medium"
0.52 0.92 5 280 6 1 0 0 "hr" "high"
0.71 0.88 4 266 3 0 0 0 "sales" "high"
0.88 0.75 4 201 2 0 0 0 "sales" "medium"
0.48 0.95 3 184 2 0 0 0 "RandD" "high"
0.73 0.97 5 235 5 0 1 0 "hr" "low"
0.47 0.43 4 246 3 0 0 0 "support" "low"
0.48 0.74 2 271 8 1 0 0 "management" "medium"
0.74 1 4 249 5 0 1 0 "IT" "low"
0.33 0.61 2 163 3 0 0 0 "technical" "medium"
0.56 0.69 5 198 3 0 0 0 "hr" "low"
0.53 0.74 5 181 2 0 0 0 "sales" "medium"
0.69 0.63 4 217 3 0 0 0 "technical" "medium"
0.4 0.53 2 151 3 0 1 0 "marketing" "low"
0.79 0.91 4 200 3 0 0 0 "sales" "medium"
0.92 0.6 5 236 3 1 0 1 "sales" "medium"
0.61 0.42 3 145 4 0 0 1 "sales" "medium"
0.37 0.5 2 142 3 0 1 0 "sales" "low"
0.13 0.61 5 198 5 0 0 0 "sales" "medium"
0.42 0.69 3 126 2 0 0 0 "sales" "low"
0.65 0.68 4 128 5 0 0 0 "product_mng" "low"
0.57 0.86 4 268 6 0 0 0 "IT" "medium"
0.77 0.49 2 286 7 0 0 0 "marketing" "low"
0.17 0.45 2 119 3 0 0 0 "sales" "medium"
0.7 0.9 3 224 3 0 0 0 "support" "medium"
0.24 0.76 6 213 4 0 0 0 "support" "medium"
0.56 0.84 4 143 4 0 0 0 "sales" "medium"
0.7 0.78 5 264 2 0 0 0 "sales" "medium"
0.55 0.63 3 201 2 1 0 0 "support" "high"
0.1 0.87 6 284 4 0 1 0 "sales" "medium"
0.5 0.77 3 265 3 0 0 0 "IT" "medium"
0.13 0.76 5 217 3 0 0 0 "support" "low"
0.72 0.66 4 202 4 0 0 0 "technical" "medium"
0.52 0.59 5 150 2 0 0 0 "sales" "low"
0.74 0.71 3 206 3 0 0 0 "management" "high"
0.68 0.8 2 257 2 1 0 0 "sales" "low"
0.1 0.97 6 247 4 0 1 0 "management" "medium"
0.92 0.62 4 265 3 1 0 0 "sales" "medium"
0.73 0.91 4 248 2 1 0 0 "technical" "medium"
0.84 0.9 3 262 2 0 0 0 "sales" "medium"
0.09 0.96 7 274 5 0 1 0 "marketing" "low"
0.1 0.81 6 309 4 0 1 0 "technical" "low"
0.1 0.85 6 260 4 0 1 0 "sales" "low"
0.77 0.56 3 167 4 0 0 0 "accounting" "medium"
0.63 0.85 2 156 3 1 0 0 "hr" "medium"
0.63 0.78 3 153 3 1 0 0 "sales" "medium"
0.81 0.95 5 266 5 0 1 0 "technical" "medium"
0.69 0.57 5 227 4 0 0 0 "IT" "low"
0.79 0.89 3 104 4 0 0 0 "technical" "low"
0.65 0.71 4 186 2 0 0 0 "IT" "low"
0.73 0.99 3 241 3 0 0 0 "RandD" "low"
0.64 0.67 3 143 6 0 0 0 "sales" "medium"
0.77 0.65 4 164 2 0 0 0 "sales" "medium"
0.6 0.77 4 157 4 0 0 0 "product_mng" "low"
0.52 0.83 5 145 3 0 0 0 "sales" "medium"
0.74 0.84 3 206 3 0 0 0 "RandD" "low"
0.66 0.73 2 135 6 0 0 0 "marketing" "medium"
0.5 0.9 5 226 2 0 0 0 "management" "high"
0.89 0.5 4 238 3 0 0 0 "technical" "medium"
0.53 0.74 5 237 2 0 0 1 "support" "medium"
0.45 0.56 2 146 3 0 1 0 "technical" "medium"
0.53 0.77 4 259 2 1 0 1 "sales" "medium"
0.84 0.52 5 189 2 1 0 0 "IT" "low"
0.62 0.85 3 237 3 1 0 0 "IT" "medium"
0.09 0.8 6 304 5 0 1 0 "technical" "medium"
0.86 0.98 3 158 5 0 1 0 "sales" "low"
0.48 0.98 4 174 3 0 0 0 "sales" "low"
0.63 0.59 4 249 2 0 0 0 "technical" "low"
0.4 0.73 4 146 3 0 0 0 "support" "low"
0.37 0.46 2 129 3 0 1 0 "accounting" "low"
0.72 0.88 3 236 3 0 0 0 "technical" "low"
0.4 0.47 2 151 3 0 1 0 "sales" "medium"
0.27 0.86 3 222 5 0 0 0 "support" "medium"
0.35 0.52 3 155 3 0 0 0 "sales" "low"
0.91 0.67 5 137 3 0 0 0 "management" "medium"
0.98 0.69 3 152 2 0 0 0 "sales" "medium"
0.75 0.49 4 246 3 0 0 0 "support" "low"
0.41 0.48 2 148 3 0 1 0 "sales" "low"
0.81 0.53 3 148 3 0 0 0 "technical" "low"
0.83 0.95 4 251 5 0 1 0 "marketing" "medium"
0.44 0.65 3 175 2 0 0 0 "IT" "low"
0.5 0.87 5 245 2 0 0 0 "technical" "low"
0.75 1 5 223 6 0 1 0 "accounting" "medium"
0.74 0.89 3 160 2 0 0 0 "sales" "low"
0.85 0.91 5 226 5 0 1 0 "management" "medium"
0.49 0.8 3 238 4 0 0 0 "product_mng" "low"
0.78 0.87 5 256 5 0 1 0 "support" "medium"
0.92 0.56 5 197 2 1 0 0 "product_mng" "medium"
0.5 0.6 2 177 3 1 0 0 "IT" "medium"
0.49 0.56 5 202 2 0 0 0 "marketing" "medium"
0.75 1 4 243 5 0 1 0 "RandD" "low"
0.72 1 5 234 5 0 1 0 "marketing" "low"
0.39 0.5 4 294 3 0 1 0 "technical" "low"
0.89 0.62 5 196 3 0 0 0 "support" "low"
0.82 0.98 5 234 5 0 1 0 "marketing" "medium"
0.91 0.59 4 133 4 0 0 0 "technical" "medium"
0.66 0.65 3 196 3 1 0 0 "technical" "low"
0.98 0.59 4 149 2 0 0 0 "hr" "medium"
0.47 0.49 2 112 3 1 0 0 "support" "medium"
0.73 0.91 4 241 2 1 0 0 "accounting" "medium"
0.9 0.49 3 237 2 0 0 0 "technical" "medium"
0.77 0.93 4 231 5 0 1 0 "hr" "medium"
0.56 0.85 3 265 10 1 0 0 "management" "low"
0.75 0.83 4 229 2 0 0 0 "IT" "medium"
0.36 0.46 2 130 3 0 1 0 "accounting" "low"
0.97 0.69 4 203 2 0 0 0 "management" "low"
0.75 0.85 5 267 5 0 1 0 "support" "low"
0.44 0.46 3 121 3 0 0 0 "technical" "medium"
0.58 0.91 3 223 2 0 0 0 "technical" "low"
0.55 0.9 3 181 3 1 0 0 "RandD" "low"
0.89 0.58 3 272 2 0 0 0 "support" "low"
0.77 0.91 5 268 3 1 0 0 "IT" "medium"
0.95 0.62 3 161 3 0 0 0 "sales" "low"
0.59 0.6 3 214 2 1 0 0 "product_mng" "low"
0.87 0.5 4 267 2 1 0 0 "accounting" "medium"
0.52 0.98 4 148 3 0 0 0 "sales" "low"
0.11 0.84 6 251 4 0 1 0 "technical" "low"
0.99 0.66 3 202 3 0 0 0 "sales" "medium"
0.64 0.94 4 210 3 0 0 0 "product_mng" "low"
0.96 0.82 5 185 3 0 0 0 "technical" "low"
0.8 0.68 4 157 3 0 0 0 "sales" "medium"
0.78 0.45 4 128 2 0 1 0 "sales" "low"
0.95 0.48 4 228 2 0 0 0 "sales" "medium"
